Date,Celebrity Name,Distance (Miles),Departure Port,Arrival Port,Gallons (Fuel),Pounds (Fuel),Cost of Fuel,CO2 emissions (aprx.Tons)
2022-06-01,Drake,1411,BQK,COS,5626,37702,37747,59
2022-06-01,A-Rod,1494,MSP,OPF,1478,9902,9914,16
2022-05-31,Puma/Jay-Z,35,TEB,FRG,169,1131,1132,2
2022-05-31,A-Rod,1494,OPF,MSP,1548,10373,10385,16
2022-05-31,Floyd Mayweather,2171,LAS,OPF,1902,12745,12760,20
2022-05-30,Steven Spielberg,2456,VNY,TEB,2121,14217,14234,22
2022-05-30,Dan Bilzerian,1090,AUS,LAS,1236,8282,8292,13
2022-05-30,Kim Kardashian,5465,KCMA,STN,4826,32341,32380,51
2022-05-30,Taylor Swift,3490,MMU,STI,2441,16361,16356,26
2022-05-29,Taylor Swift,738,BNA,MMU,638,4274,4273,7
2022-05-28,Floyd Mayweather,229,VNY,LAS,323,2168,2167,3
2022-05-28,Floyd Mayweather,229,LAS,VNY,334,2241,2240,4
2022-05-28,Dan Bilzerian,1090,LAS,AUS,1016,6809,6827,11
2022-05-28,Magic Johnson,229,LAS,VNY,417,2796,2803,4
2022-05-27,Magic Johnson,229,VNY,LAS,436,2925,2932,5
2022-05-27,Kim Kardashian,44,LAX,KCMA,115,771,773,1
2022-05-27,Kim Kardashian,6066,LIN,LAX,5906,39583,39689,62
2022-05-27,Taylor Swift,280,SUS,BNA,259,1733,1738,3
2022-05-27,Taylor Swift,280,BNA,SUS,308,2066,2072,3
2022-05-27,Mark Wahlberg,668,NCE,LTN,817,5477,5491,9
2022-05-27,Kenny Chesney,103,HSV,BNA,151,1011,1012,2
2022-05-26,Kenny Chesney,103,BNA,HSV,127,851,852,1
2022-05-26,Puma/Jay-Z,720,TEB,SAV,733,4916,4922,8
2022-05-26,Kim Kardashian,6072,KCMA,LIN,5261,35257,35299,56
2022-05-26,Puma/Jay-Z,35,FRG,TEB,270,1812,1815,3
2022-05-26,Floyd Mayweather,2232,TEB,LAS,2171,14551,14568,23
2022-05-26,Kenny Chesney,439,CHS,BNA,357,2396,2402,4
2022-05-26,Magic Johnson,2286,IAD,VNY,2669,17890,17937,28
